101m Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
104m Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
10gs Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
11gs Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
12gs Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
13gs Sequence Parse Errors: 34; Helix Parse Errors: 1; Helix Extraction Errors: 14; Helix to Digit Errors: 0
14gs Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
16gs Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
17gs Sequence Parse Errors: 35; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
18gs Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
19gs Sequence Parse Errors: 35; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
19hc Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 31; Helix to Digit Errors: 0
1a00 Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 7
1a01 Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 7
1a03 Sequence Parse Errors: 22; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1a04 Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 16; Helix to Digit Errors: 0
1a0a Sequence Parse Errors: 22; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1a0b Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 3
1a0f Sequence Parse Errors: 32; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1a0p Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1a0u Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 7
1a0z Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 7
1a17 Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 5
1a1u Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1a1w Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1a1z Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1a22 Sequence Parse Errors: 34; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1a26 Sequence Parse Errors: 28; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 4
1a28 Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 14
1a29 Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1a2a Sequence Parse Errors: 80; Helix Parse Errors: 0; Helix Extraction Errors: 10; Helix to Digit Errors: 0
1a2f Sequence Parse Errors: 37; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1a2g Sequence Parse Errors: 37; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1a2i Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1a2s Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1a2x Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 1
1a32 Sequence Parse Errors: 8; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1a36 Sequence Parse Errors: 50; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 10
1a38 Sequence Parse Errors: 43; Helix Parse Errors: 1; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1a3d Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1a3f Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1a3n Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 8
1a3o Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 7
1a43 Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 1
1a4f Sequence Parse Errors: 23; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 5
1a4o Sequence Parse Errors: 76; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1a4p Sequence Parse Errors: 16; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1a52 Sequence Parse Errors: 40; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 12
1a56 Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1a59 Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 6; Helix to Digit Errors: 0
1a5j Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1a5t Sequence Parse Errors: 26; Helix Parse Errors: 0; Helix Extraction Errors: 8; Helix to Digit Errors: 0
1a62 Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1a63 Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1a6d Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 10
1a6e Sequence Parse Errors: 84; Helix Parse Errors: 0; Helix Extraction Errors: 15; Helix to Digit Errors: 8
1a6g Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1a6i Sequence Parse Errors: 17; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1a6k Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1a6m Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1a6n Sequence Parse Errors: 12; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1a6q Sequence Parse Errors: 30; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 0
1a6s Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1a76 Sequence Parse Errors: 26; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 0
1a77 Sequence Parse Errors: 26; Helix Parse Errors: 0; Helix Extraction Errors: 12; Helix to Digit Errors: 0
1a7d Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1a7e Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1a7m Sequence Parse Errors: 14; Helix Parse Errors: 0; Helix Extraction Errors: 3; Helix to Digit Errors: 0
1a7v Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1a7w Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1a8c Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 5; Helix to Digit Errors: 0
1a8h Sequence Parse Errors: 39; Helix Parse Errors: 0; Helix Extraction Errors: 11; Helix to Digit Errors: 0
1a8o Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 1
1a8v Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 9; Helix to Digit Errors: 2
1a9w Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 14; Helix to Digit Errors: 6
1aa2 Sequence Parse Errors: 9; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1aa4 Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aa7 Sequence Parse Errors: 26; Helix Parse Errors: 0; Helix Extraction Errors: 7; Helix to Digit Errors: 6
1aab Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ab3 Sequence Parse Errors: 7; Helix Parse Errors: 0; Helix Extraction Errors: 4; Helix to Digit Errors: 0
1abs Sequence Parse Errors: 20; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1abv Sequence Parse Errors: 11; Helix Parse Errors: 0; Helix Extraction Errors: 1; Helix to Digit Errors: 0
1abw Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 13; Helix to Digit Errors: 9
1aby Sequence Parse Errors: 46; Helix Parse Errors: 0; Helix Extraction Errors: 17; Helix to Digit Errors: 5
1ac4 Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1ac8 Sequence Parse Errors: 36; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
1aci Sequence Parse Errors: 6; Helix Parse Errors: 0; Helix Extraction Errors: 2; Helix to Digit Errors: 0
1acp Sequence Parse Errors: 10; Helix Parse Errors: 0; Helix Extraction Errors: 0; Helix to Digit Errors: 0
